,City,State,Zipcode,Latitude,Longitude
286,Amarillo,TX,79118,35.1831,-101.6149
287,Amarillo,TX,79119,35.1449,-101.9278
288,Amarillo,TX,79120,35.1885,-101.8162
289,Amarillo,TX,79121,35.1863,-101.9264
290,Amarillo,TX,79124,35.2359,-101.9119
291,Amarillo,TX,79166,35.2073,-101.8339
292,Amarillo,TX,79168,35.2073,-101.8339
293,Amarillo,TX,79172,35.2073,-101.8339
294,Amarillo,TX,79174,35.2073,-101.8339
295,Amarillo,TX,79178,35.2073,-101.8339
296,Amarillo,TX,79185,35.2073,-101.8339
297,Amarillo,TX,79187,35.2223,-101.8121
298,Amarillo,TX,79189,35.2073,-101.8339
299,Amherst,MA,1368,42.6313,-72.1494
300,Amherst,MA,1370,42.6047,-72.7382
301,Amherst,MA,1373,42.4764,-72.6086
302,Amherst,MA,1375,42.4628,-72.5802
303,Amherst,MA,1376,42.6027,-72.5553
304,Amherst,MA,1378,42.6823,-72.3378
305,Amherst,MA,1379,42.5114,-72.4195
306,Amherst,MA,1420,42.585,-71.8007
307,Amherst,MA,1430,42.6328,-71.9097
308,Amherst,MA,1431,42.6715,-71.821
309,Amherst,MA,1351,42.5378,-72.5367
310,Amherst,MA,1355,42.507,-72.3313
311,Amherst,MA,1360,42.7117,-72.4423
312,Amherst,MA,1364,42.5883,-72.3112
313,Amherst,MA,1436,42.6112,-72.0738
314,Amherst,MA,1440,42.573,-71.9961
315,Amherst,MA,1344,42.5839,-72.493
316,Amherst,MA,1349,42.5759,-72.4955
317,Amherst,MA,1340,42.6554,-72.7159
318,Amherst,MA,1341,42.5113,-72.699
319,Amherst,MA,1342,42.5396,-72.6035
320,Amherst,MA,1331,42.5927,-72.2296
321,Amherst,MA,1337,42.6704,-72.554
322,Amherst,MA,1452,42.4811,-71.9492
323,Amherst,MA,1453,42.525,-71.7546
324,Amherst,MA,1462,42.5767,-71.7473
325,Amherst,MA,1463,42.6677,-71.5679
326,Amherst,MA,1468,42.5434,-72.0435
327,Amherst,MA,1469,42.667,-71.7066
328,Amherst,MA,1473,42.5467,-71.914
329,Amherst,MA,1474,42.6816,-71.7416
330,Amherst,MA,1475,42.6859,-72.0494
331,Amherst,MA,1523,42.441,-71.6764
332,Amherst,MA,1541,42.4548,-71.8771
333,Amherst,MA,1072,42.5047,-72.432
334,Amherst,MA,1088,42.3883,-72.634
335,Amherst,MA,1038,42.3751,-72.6027
336,Amherst,MA,1040,42.207,-72.6143
337,Amherst,MA,1054,42.4558,-72.5112
338,Amherst,MA,1060,42.3185,-72.631
339,Amherst,MA,1062,42.3358,-72.6724
340,Amherst,MA,1063,42.3205,-72.6402
341,Amherst,MA,1002,42.4317,-72.4832
342,Amherst,MA,1003,42.3901,-72.5249
343,Amherst,MA,1005,42.4232,-72.1088
344,Amherst,MA,1028,42.07,-72.5183
345,Amherst,MA,1035,42.3421,-72.5851
346,Anacortes,WA,98221,48.4981,-122.6139
347,Anchorage,AK,99501,61.2088,-149.8626
348,Anchorage,AK,99502,61.1423,-149.9498
349,Anchorage,AK,99503,61.1954,-149.9056
350,Anchorage,AK,99507,61.1738,-149.8378
351,Anchorage,AK,99508,61.2078,-149.7999
352,Anchorage,AK,99515,61.132,-149.8632
353,Anchorage,AK,99516,61.1051,-149.8338
354,Anchorage,AK,99517,61.1882,-149.9235
355,Anchorage,AK,99518,61.1541,-149.8914
356,Ann Arbor,MI,48103,42.2694,-83.7731
357,Ann Arbor,MI,48104,42.2795,-83.7438
358,Ann Arbor,MI,48105,42.294,-83.7365
359,Ann Arbor,MI,48108,42.2483,-83.6704
360,Ann Arbor,MI,48109,42.2785,-83.7312
361,Ann Arbor,MI,48114,42.5626,-83.799
362,Ann Arbor,MI,48116,42.5347,-83.7864
363,Ann Arbor,MI,48118,42.3119,-84.02
364,Ann Arbor,MI,48137,42.4301,-84.0578
365,Ann Arbor,MI,48197,42.244,-83.6199
366,Ann Arbor,MI,48198,42.2438,-83.6031
367,Ann Arbor,MI,48160,42.0785,-83.6888
368,Ann Arbor,MI,48130,42.3356,-83.883
369,Ann Arbor,MI,48169,42.4589,-83.9396
370,Ann Arbor,MI,48176,42.1703,-83.7801
371,Ann Arbor,MI,48178,42.4583,-83.6497
372,Ann Arbor,MI,48353,42.6303,-83.7253
373,Ann Arbor,MI,48380,42.5933,-83.6544
374,Ann Arbor,MI,48189,42.4383,-83.8028
375,Ann Arbor,MI,48191,42.0675,-83.5462
376,Ann Arbor,MI,48158,42.1519,-84.0283
377,Ann Arbor,MI,48836,42.6578,-84.0722
378,Ann Arbor,MI,48843,42.6077,-83.9335
379,Ann Arbor,MI,48855,42.6271,-83.9933
380,Ann Arbor,MI,49201,42.2795,-84.4582
381,Ann Arbor,MI,49202,42.2751,-84.446
382,Ann Arbor,MI,49203,42.2367,-84.4136
383,Ann Arbor,MI,49220,41.9865,-84.3466
384,Ann Arbor,MI,49221,41.8987,-84.0305
385,Ann Arbor,MI,49227,41.9575,-84.7696
386,Ann Arbor,MI,49228,41.8299,-83.8622
387,Ann Arbor,MI,49229,41.9649,-83.7429
388,Ann Arbor,MI,49230,42.1056,-84.2486
389,Ann Arbor,MI,49232,41.7166,-84.6466
390,Ann Arbor,MI,49233,42.0864,-84.3635
391,Ann Arbor,MI,49234,42.1243,-84.3224
392,Ann Arbor,MI,49235,41.8634,-84.2376
393,Ann Arbor,MI,49236,42.0943,-83.9867
394,Ann Arbor,MI,49237,42.1794,-84.642
395,Ann Arbor,MI,49238,41.888,-83.749
396,Ann Arbor,MI,49240,42.2519,-84.207
397,Ann Arbor,MI,49241,42.1002,-84.5515
398,Ann Arbor,MI,49242,41.922,-84.6301
399,Ann Arbor,MI,49246,42.0918,-84.4748
400,Ann Arbor,MI,49247,41.9112,-84.3668
401,Ann Arbor,MI,49248,41.7958,-84.039
402,Ann Arbor,MI,49249,42.0653,-84.4218
403,Ann Arbor,MI,49250,41.9845,-84.6611
404,Ann Arbor,MI,49252,42.0437,-84.7658
405,Ann Arbor,MI,49253,41.964,-84.2847
406,Ann Arbor,MI,49254,42.2281,-84.3274
407,Ann Arbor,MI,49256,41.7212,-84.2132
408,Ann Arbor,MI,49259,42.335,-84.2276
409,Ann Arbor,MI,49262,41.9725,-84.5291
410,Ann Arbor,MI,49265,42.0056,-84.189
411,Ann Arbor,MI,49266,41.8873,-84.5399
412,Ann Arbor,MI,49271,41.8642,-84.4779
413,Ann Arbor,MI,49272,42.3892,-84.3402
414,Ann Arbor,MI,49274,41.8853,-84.7924
415,Ann Arbor,MI,49276,41.8214,-83.7273
416,Ann Arbor,MI,49277,42.3858,-84.4614
417,Ann Arbor,MI,49279,41.8223,-84.1017
418,Ann Arbor,MI,49283,42.2062,-84.5491
419,Ann Arbor,MI,49284,42.4381,-84.7749
420,Ann Arbor,MI,49286,42.0039,-83.9452
421,Ann Arbor,MI,49287,42.0161,-84.0593
422,Ann Arbor,MI,49288,41.7511,-84.3403
423,Ann Arbor,MI,49268,41.8593,-83.9345
424,Ann Arbor,MI,49269,42.2571,-84.5971
425,Anson County,NC,28170,34.9637,-80.0784
426,Anson County,NC,28091,34.9712,-79.9889
427,Anson County,NC,28119,34.8626,-80.0003
428,Anson County,NC,28133,34.9932,-80.2639
429,Anson County,NC,28135,35.0037,-80.2083
430,Antelope Vly,CA,93534,34.675,-118.1459
431,Antelope Vly,CA,93535,34.6853,-118.1013
432,Antelope Vly,CA,93536,34.8398,-118.5994
433,Antelope Vly,CA,93539,34.6787,-118.1656
434,Antelope Vly,CA,93543,34.5281,-117.9924
435,Antelope Vly,CA,93544,34.4693,-117.8456
436,Antelope Vly,CA,93550,34.5814,-118.1167
437,Antelope Vly,CA,93551,34.6133,-118.1908
438,Antelope Vly,CA,93552,34.571,-118.0506
439,Antelope Vly,CA,93553,34.5055,-117.9021
440,Antelope Vly,CA,93584,34.6984,-118.1389
441,Antelope Vly,CA,93586,34.6475,-118.2186
442,Antelope Vly,CA,93590,34.58,-118.0891
443,Antelope Vly,CA,93591,34.61,-117.8241
444,Antelope Vly,CA,93599,34.6027,-118.1166
445,Anza Vly,CA,92561,33.5927,-116.4571
446,Anza Vly,CA,92536,33.534,-116.7992
447,Anza Vly,CA,92539,33.5497,-116.725
448,Apache Junction,AZ,85118,33.3584,-111.453
449,Apache Junction,AZ,85119,33.3952,-111.5346
450,Apache Junction,AZ,85120,33.422,-111.568
451,Applegate Valley,OR,97544,42.2671,-123.2545
452,Applegate Valley,OR,97533,42.3771,-123.2329
453,Arden Arcade-Del Paso Manor,CA,95860,38.6106,-121.381
454,Ashe County,NC,28629,36.3426,-81.3706
455,Ashe County,NC,28626,36.3193,-81.5197
456,Ashe County,NC,28615,36.4342,-81.6274
457,Ashe County,NC,28617,36.4519,-81.4043
458,Ashe County,NC,28672,36.4778,-81.339
459,Ashe County,NC,28643,36.4996,-81.5047
460,Ashe County,NC,28640,36.4207,-81.4737
461,Ashe County,NC,28631,36.5358,-81.3994
462,Ashe County,NC,28693,36.4708,-81.5096
463,Ashe County,NC,28694,36.4019,-81.495
464,Ashland,OR,97520,42.1954,-122.7071
465,Atascadero,CA,93422,35.4582,-120.6416
466,Atascadero,CA,93432,35.4181,-120.4615
467,Athol (seasonal),ID,83801,48.0113,-116.6241
468,Athol (seasonal),ID,83822,48.1765,-117.0327
469,Atlanta,GA,31064,33.3905,-83.8339
470,Atlanta,GA,31085,33.4024,-83.5907
471,Atlanta,GA,30002,33.7772,-84.2656
472,Atlanta,GA,30004,34.1037,-84.2609
473,Atlanta,GA,30005,34.1016,-84.2055
474,Atlanta,GA,30008,33.9182,-84.5712
475,Atlanta,GA,30011,34.0166,-83.8218
476,Atlanta,GA,30012,33.697,-84.0753
477,Atlanta,GA,30013,33.6196,-83.9793
478,Atlanta,GA,30014,33.7534,-83.8185
479,Atlanta,GA,30016,33.598,-83.9654
480,Atlanta,GA,30017,33.8979,-83.9581
481,Atlanta,GA,30019,33.9075,-83.813
482,Atlanta,GA,30021,33.8111,-84.2405
483,Atlanta,GA,30022,33.9985,-84.2794
484,Atlanta,GA,30024,34.0937,-84.1361
485,Atlanta,GA,30025,33.6562,-83.7189
486,Atlanta,GA,30030,33.7751,-84.2957
487,Atlanta,GA,30032,33.764,-84.2508
488,Atlanta,GA,30033,33.8059,-84.3053
489,Atlanta,GA,30034,33.7027,-84.2696
490,Atlanta,GA,30035,33.7381,-84.2228
491,Atlanta,GA,30038,33.6989,-84.1523
492,Atlanta,GA,30039,33.7706,-84.0456
493,Atlanta,GA,30040,34.2072,-84.1381
494,Atlanta,GA,30041,34.2226,-84.0857
495,Atlanta,GA,30043,33.9721,-84.025
496,Atlanta,GA,30044,33.9419,-84.0866
497,Atlanta,GA,30045,33.9318,-83.9169
498,Atlanta,GA,30047,33.9022,-84.1537
499,Atlanta,GA,30052,33.7272,-83.907
500,Atlanta,GA,30054,33.6269,-83.8687
501,Atlanta,GA,30055,33.423,-83.8204
502,Atlanta,GA,30056,33.5174,-83.698
503,Atlanta,GA,30058,33.7101,-84.1125
504,Atlanta,GA,30060,33.893,-84.5641
505,Atlanta,GA,30062,34.0206,-84.4275
506,Atlanta,GA,30064,33.9467,-84.5559
507,Atlanta,GA,30066,33.9981,-84.5441
508,Atlanta,GA,30067,33.9172,-84.4711
509,Atlanta,GA,30068,33.9712,-84.4188
510,Atlanta,GA,30069,33.9276,-84.5374
511,Atlanta,GA,30071,33.9335,-84.1935
512,Atlanta,GA,30075,34.0981,-84.4238
513,Atlanta,GA,30076,34.0302,-84.3274
514,Atlanta,GA,30078,33.857,-84.0206
515,Atlanta,GA,30079,33.7904,-84.2594
